Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
980,9.8,0.453196,0.63632,122,143,0,0
990,9.9,0.473696,0.64782,122,143,0,0
1000,10,0.430196,0.65332,122,143,0,0
1010,10.1,0.469696,0.63182,122,143,0,0
1020,10.2,0.447196,0.62732,122,143,0,0
1030,10.3,0.431196,0.67082,122,143,0,0
1040,10.4,0.454196,0.63182,122,143,0,0
1050,10.5,0.427696,0.67132,122,143,0,0
1060,10.6,0.438196,0.64182,122,143,0,0
1070,10.7,0.444696,0.66432,122,143,0,0
1080,10.8,0.429196,0.65832,122,143,0,0
1090,10.9,0.460196,0.65782,122,143,0,0
1100,11,0.449696,0.65082,122,143,0,0
1110,11.1,0.458696,0.64432,122,143,0,0
1120,11.2,0.436196,0.63832,122,143,0,0
1130,11.3,0.426196,0.66532,122,143,0,0
1140,11.4,0.465196,0.65482,122,143,0,0
1150,11.5,0.430696,0.66632,122,143,0,0
1160,11.6,0.463196,0.64382,122,143,0,0
1170,11.7,0.468196,0.66032,122,143,0,0
1180,11.8,0.456196,0.63882,122,143,0,0
1190,11.9,0.437196,0.64832,122,143,0,0
1200,12,0.438196,0.65732,122,143,0,0
1210,12.1,0.468696,0.63082,122,143,0,0
1220,12.2,0.427696,0.65732,122,143,0,0
1230,12.3,0.469696,0.66732,122,143,0,0
1240,12.4,0.468196,0.67132,122,143,0,0
1250,12.5,0.449696,0.63382,122,143,0,0
1260,12.6,0.435196,0.65682,122,143,0,0
1270,12.7,0.472696,0.67432,122,143,0,0
1280,12.8,0.467196,0.65732,122,143,0,0
1290,12.9,0.445196,0.67182,122,143,0,0
1300,13,0.446696,0.65032,122,143,0,0
1310,13.1,0.471696,0.64482,122,143,0,0
1320,13.2,0.448196,0.63682,122,143,0,0
1330,13.3,0.452196,0.66782,122,143,0,0
1340,13.4,0.466196,0.66932,122,143,0,0
1350,13.5,0.438696,0.64582,122,143,0,0
1360,13.6,0.470196,0.67382,122,143,0,0
1370,13.7,0.462696,0.66332,122,143,0,0
